,Rank,Name,English Name,Synopsis,Score,Popularity,Type,Number of Episodes,Status,Aired,Season,Studios,Producers,Genres,Demographics,Members,Source
237,238,IDOLiSH7 Third Beat! Part 2,N/A,"IDOLiSH7 is more successful than ever, but no one is smiling because a new threat has taken the stage: the debuting idol group ≈πOOƒª. Managed by the nefarious entertainment executive Ryou Tsukumo, they will stop at nothing to get their way, resorting to all kinds of underhanded tactics to bring down their rivals. TRIGGER's image has already been ruined by scandal, and IDOLiSH7 and Re:vale are headed for the same fate—or worse.

Meanwhile, Zero, the legendary idol who disappeared 15 years ago, continues to haunt the present through those he left behind. His manager seems to be in contact with Tsukumo for his own schemes, and Zero's songwriter reveals himself in a letter after having been missing for years. IDOLiSH7 finds an ally in Re:vale to thwart ≈πOOƒª's plans while trying to make sense of Zero's colleagues' actions, but it may be impossible for everyone to emerge unscathed.

[Written by MAL Rewrite]",8.34,5581,TV,17,Finished Airing,"Oct 2, 2022 to Feb 26, 2023",Fall 2022,TROYCA,add some,N/A,N/A,"15,250",Game
238,239,Versailles no Bara,The Rose of Versailles,"In a time of class stratification and rising tensions amongst the impoverished population, the Austrian Empire sends Princess Marie Antoinette to France to be wed to Crown Prince Louis XVI. The political marriage is arranged to strengthen the alliance between both countries, but the future queen is deeply unsatisfied with her fate being decided for her. Upon arrival in the country, Marie Antoinette is acquainted with Oscar Fançois de Jarjayes—Commander of the Royal Guard.

Due to her father's desire for a son, Oscar is raised as a boy with an expectation to inherit his title as The Commander. Though she is revered by both men and women alike, Oscar cannot help but desire to live life as a woman instead of masquerading as a man. As Oscar reluctantly serves the young, spoiled queen, the growing resentment and suffering of the poor become harder for her to ignore—especially when Marie Antoinette frivolously spends her wealth.

[Written by MAL Rewrite]",8.34,2130,TV,40,Finished Airing,"Oct 10, 1979 to Sep 3, 1980",Fall 1979,Tokyo Movie Shinsha,Nippon Television Network,Drama,Shoujo,"102,742",Manga
239,240,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou","Violet Evergarden: The Day You Understand ""I Love You"" Will Surely Come","The CH Postal Company has just received a request to transcribe a love letter from Irma Felice, a famous opera singer. Accepting the task, Violet Evergarden visits Irma to write her letter. However, not only does Irma provide little information, she asks Violet to write based on her own feelings. Despite Violet's numerous attempts, Irma finds every version of the letter inadequate.

Violet consults her colleagues, and they help her out by writing love letters of their own. Yet even those are rejected by the opera singer. As a last resort, Violet asks Irma for her true thoughts and feelings, hoping to find the missing puzzle piece. Will the Auto Memory Doll be able to translate Irma's emotions into words?

[Written by MAL Rewrite]",8.34,722,Special,1,Finished Airing,"Jul 4, 2018",N/A,Kyoto Animation,Lantis,N/A,N/A,"343,365",Light novel
240,241,Wu Shan Wu Xing: Xichuan Huan Zi Lin,Fog Hill of Five Elements,Second season of Wu Shan Wu Xing.,8.34,5751,ONA,4,Finished Airing,"Jul 26, 2023 to Aug 16, 2023",N/A,Samsara Animation Studio,bilibili,Action,N/A,"14,231",Original
241,242,Usagi Drop,Bunny Drop,"Daikichi Kawachi is a 30-year-old bachelor working a respectable job but otherwise wandering aimlessly through life. When his grandfather suddenly passes away, he returns to the family home to pay his respects. Upon arriving at the house, he meets a mysterious young girl named Rin who, to Daikichi’s astonishment, is his grandfather's illegitimate daughter!

The shy and unapproachable girl is deemed an embarrassment to the family, and finds herself ostracized by her father's relatives, all of them refusing to take care of her in the wake of his death. Daikichi, angered by their coldness toward Rin, announces that he will take her in—despite the fact that he is a young, single man with no prior childcare experience.

Usagi Drop is the story of Daikichi's journey through fatherhood as he raises Rin with his gentle and affectionate nature, as well as an exploration of the warmth and interdependence that are at the heart of a happy, close-knit family.

[Written by MAL Rewrite]",8.33,462,TV,11,Finished Airing,"Jul 8, 2011 to Sep 16, 2011",Summer 2011,Production I.G,Dentsu,N/A,Josei,"504,381",Manga
242,243,Kage no Jitsuryokusha ni Naritakute! 2nd Season,The Eminence in Shadow Season 2,"Enticed by its rumored wealth, Cid Kagenou happily tags along with his sister, Claire, on a trip to the infamous Lawless City. The region is ruled by three monarchs: Yukime, the Spirit Fox; Juggernaut, the Tyrant; and Elisabeth, a dormant progenitor vampire known as the Blood Queen. Hunting Elisabeth down serves as the perfect opportunity for Claire to prove her true mettle. On the other hand, Cid has different objectives—sneaking away from Claire's sight, collecting as much loot as possible, and making Shadow's glorious entrance at the perfect moment.

As Elisabeth's awakening draws near, her subordinate Crimson enacts a treacherous plot, sending the town into a frenzy. Searching for her now-missing brother, Claire finds an unexpected ally in Mary, a vampire hunter, and the pair hurry to the Crimson Tower—the home of the Blood Queen. Meanwhile, Beta and a small team of Shadow Garden recruits also arrive at the Lawless City. As the key players converge on the Crimson Tower, the stage is set for a grand confrontation under the crimson moon.

[Written by MAL Rewrite]",8.33,576,TV,12,Finished Airing,"Oct 4, 2023 to Dec 20, 2023",Fall 2023,Nexus,AT-X,Action,N/A,"413,412",Light novel
243,244,Kidou Senshi Gundam: The Origin,Mobile Suit Gundam: The Origin,"In the year 0068 of the Universal Century, Casval Rem Deikun's life is thrown into chaotic disarray after the assassination of his father, a prolific figure in the crusade towards civil rights for people who live away from the Earth's surface. Casval and his sister Artesia receive aid from soldiers who were loyal to their father, and the siblings are whisked away from their home, separated, and thrown into a twisted fate that sees them come into their own as soldiers and adults.

Years before stealing the name Char Aznable or his ""Red Comet"" moniker, Casval must contend with the rise of a militarized version of his father's ideology and his own vengeful nature as intergalactic war molds him into a legendary mobile suit pilot.

[Written by MAL Rewrite]",8.33,2557,OVA,6,Finished Airing,"Feb 28, 2015 to May 5, 2018",N/A,Sunrise,Sotsu,Action,Shounen,"76,716",Manga
244,245,Kiseijuu: Sei no Kakuritsu,Parasyte: The Maxim,"All of a sudden, they arrived: parasitic aliens that descended upon Earth and quickly infiltrated humanity by burrowing into the brains of vulnerable targets. These insatiable beings acquire full control of their host and are able to morph into a variety of forms in order to feed on unsuspecting prey.

Sixteen-year-old high school student Shinichi Izumi falls victim to one of these parasites, but it fails to take over his brain, ending up in his right hand instead. Unable to relocate, the parasite, now named Migi, has no choice but to rely on Shinichi in order to stay alive. Thus, the pair is forced into an uneasy coexistence and must defend themselves from hostile parasites that hope to eradicate this new threat to their species.

[Written by MAL Rewrite]",8.33,42,TV,24,Finished Airing,"Oct 9, 2014 to Mar 26, 2015",Fall 2014,Madhouse,VAP,Action,Seinen,"1,919,272",Manga
245,246,Natsume Yuujinchou: Itsuka Yuki no Hi ni,Natsume‚Äôs Book of Friends: On a Certain Snowy Day,"As the first delicate snowflake touches the cold ground, Nyanko-sensei dozes on his hot-water bottle next to Takashi Natsume. While his aunt prepares a warm dinner, Natsume takes a walk, welcoming the snow and the chilly weather. However, his peaceful promenade is disturbed by a white, fluffy snowman yokai with perturbing black eyes, searching for something warm and sparkly. With no further information, Natsume sets off to help find what the spirit desires.

[Written by MAL Rewrite]",8.33,2458,OVA,1,Finished Airing,"Feb 5, 2014",N/A,Brain's Base,Aniplex,Slice of Life,Shoujo,"81,939",Manga
246,247,One Outs,N/A,"Toua Tokuchi is a prodigy when it comes to both baseball and gambling. Pitching nothing but mediocre fastballs, he has made a name for himself by attaining 499 consecutive victories in the game of One Outs: a one-on-one showdown between a pitcher and a batter. Despite his remarkable abilities, however, Tokuchi sees the sport as nothing more than a way to make some quick money.

When Hiromichi Kojima, a legendary hitter for the struggling Saikyou Saitama Lycaons, witnesses Tokuchi's skills firsthand, he realizes that the man might be exactly what the team needs to get out of their slump. Determined to recruit Tokuchi no matter what, Kojima places his own career on the line and defeats Tokuchi at his own specialty—One Outs.

Forced to become a Lycaon, Tokuchi soon finds himself at odds with the team's owner, Tsuneo Saikawa. After Saikawa refuses to give him a reasonable salary, Tokuchi proposes a special contract: pitching an out will earn him five million yen, but giving up a run will cost him fifty million. With every game having the potential to either make or break him, Tokuchi must outwit all who stand in his way.

[Written by MAL Rewrite]",8.33,1035,TV,25,Finished Airing,"Oct 8, 2008 to Apr 1, 2009",Fall 2008,Madhouse,VAP,Sports,Seinen,"244,126",Manga
